"dataset","nlayers","learningrate","layerForm","nhidden","testAccuracy","valAccuracy"
"wine-quality-white",3,0.01,"rect",256,0.548202633857727,0.594827592372894
"wine-quality-white",4,0.01,"rect",512,0.566176533699036,0.588793104887009
"wine-quality-white",4,0.01,"rect",1024,0.583333373069763,0.584770119190216
"wine-quality-white",4,0.01,"rect",256,0.611928105354309,0.581896561384201
"wine-quality-white",3,0.01,"cone",512,0.569444477558136,0.571264356374741
"wine-quality-white",8,0.01,"rect",512,0.5874183177948,0.569252878427506
"wine-quality-white",3,0.01,"cone",1024,0.499183058738708,0.566954034566879
"wine-quality-white",3,0.01,"rect",512,0.562091529369354,0.5609195291996
"wine-quality-white",3,0.01,"rect",1024,0.575980424880981,0.560632193088532
"wine-quality-white",2,0.1,"cone",512,0.556372582912445,0.558908039331436
"wine-quality-white",2,0.01,"cone",256,0.550653696060181,0.554885059595108
"wine-quality-white",4,0.1,"cone",512,0.581699371337891,0.552873575687408
"wine-quality-white",2,0.01,"rect",512,0.562091529369354,0.552586197853088
"wine-quality-white",4,0.1,"rect",256,0.54411768913269,0.550574719905853
"wine-quality-white",2,0.01,"rect",1024,0.531045794487,0.550287353992462
"wine-quality-white",4,0.01,"cone",512,0.567810475826263,0.549137926101685
"wine-quality-white",3,0.1,"cone",512,0.550653636455536,0.547988498210907
"wine-quality-white",4,0.1,"cone",256,0.579248428344727,0.546551740169525
"wine-quality-white",2,0.1,"rect",256,0.558006584644318,0.546551722288132
"wine-quality-white",2,0.01,"cone",1024,0.558823585510254,0.54281610250473
"wine-quality-white",2,0.1,"rect",512,0.561274528503418,0.539655166864395
"wine-quality-white",2,0.1,"cone",1024,0.578431367874146,0.537931025028229
"wine-quality-white",3,0.01,"cone",256,0.558823525905609,0.537356317043304
"wine-quality-white",2,0.01,"rect",256,0.558006584644318,0.53620690703392
"wine-quality-white",3,0.1,"cone",1024,0.560457527637482,0.536206889152527
"wine-quality-white",4,0.01,"cone",256,0.562091529369354,0.534195405244827
"wine-quality-white",8,0.01,"rect",1024,0.553104639053345,0.533333337306976
"wine-quality-white",4,0.01,"cone",1024,0.557189583778381,0.53074711561203
"wine-quality-white",2,0.1,"cone",256,0.550653576850891,0.529597699642181
"wine-quality-white",2,0.1,"rect",1024,0.554738581180573,0.528160911798477
"wine-quality-white",3,0.1,"cone",256,0.535130739212036,0.52643678188324
"wine-quality-white",2,0.01,"cone",512,0.542483687400818,0.526436769962311
"wine-quality-white",4,0.1,"cone",1024,0.519607901573181,0.51810345351696
"wine-quality-white",3,0.1,"rect",1024,0.539215743541718,0.516666647791863
"wine-quality-white",3,0.1,"rect",256,0.543300747871399,0.515229868888855
"wine-quality-white",2,1,"cone",256,0.533496737480164,0.504885059595108
"wine-quality-white",3,0.1,"rect",512,0.450163424015045,0.462643685936928
"wine-quality-white",32,0.01,"cone",1024,0.450163453817368,0.459770113229752
"wine-quality-white",32,0.1,"cone",256,0.450163453817368,0.459770113229752
"wine-quality-white",32,1,"cone",1024,0.450163453817368,0.459770113229752
"wine-quality-white",16,0.01,"cone",256,0.450163424015045,0.459770113229752
"wine-quality-white",16,1,"cone",1024,0.450163453817368,0.459770113229752
"wine-quality-white",8,0.01,"cone",1024,0.450163453817368,0.459770113229752
"wine-quality-white",8,0.01,"cone",512,0.450163424015045,0.459770113229752
"wine-quality-white",8,0.01,"cone",256,0.450163453817368,0.459770113229752
"wine-quality-white",8,0.1,"cone",1024,0.450163453817368,0.459770113229752
"wine-quality-white",8,0.1,"cone",512,0.450163453817368,0.459770113229752
"wine-quality-white",8,1,"cone",512,0.450163453817368,0.459770113229752
"wine-quality-white",4,1,"cone",256,0.450163453817368,0.459770113229752
"wine-quality-white",32,0.01,"rect",1024,0.0040849675424397,0
"wine-quality-white",32,0.01,"cone",512,0.0040849675424397,0
"wine-quality-white",32,0.01,"rect",512,0.0040849675424397,0
"wine-quality-white",32,0.01,"cone",256,0.0040849675424397,0
"wine-quality-white",32,0.01,"rect",256,0.0040849675424397,0
"wine-quality-white",32,0.1,"cone",1024,0.0040849675424397,0
"wine-quality-white",32,0.1,"rect",1024,0.0040849675424397,0
"wine-quality-white",32,0.1,"cone",512,0.0040849675424397,0
"wine-quality-white",32,0.1,"rect",512,0.0040849675424397,0
"wine-quality-white",32,0.1,"rect",256,0.0040849675424397,0
"wine-quality-white",32,1,"rect",1024,0.0040849675424397,0
"wine-quality-white",32,1,"cone",512,0.0040849675424397,0
"wine-quality-white",32,1,"rect",512,0.0040849675424397,0
"wine-quality-white",32,1,"cone",256,0.0040849675424397,0
"wine-quality-white",32,1,"rect",256,0.0040849675424397,0
"wine-quality-white",16,0.01,"cone",1024,0.0040849675424397,0
"wine-quality-white",16,0.01,"rect",1024,0.0040849675424397,0
"wine-quality-white",16,0.01,"cone",512,0.0040849675424397,0
"wine-quality-white",16,0.01,"rect",512,0.0040849675424397,0
"wine-quality-white",16,0.01,"rect",256,0.0040849675424397,0
"wine-quality-white",16,0.1,"cone",1024,0.0040849675424397,0
"wine-quality-white",16,0.1,"rect",1024,0.0040849675424397,0
"wine-quality-white",16,0.1,"cone",512,0.0040849675424397,0
"wine-quality-white",16,0.1,"rect",512,0.0040849675424397,0
"wine-quality-white",16,0.1,"cone",256,0.0040849675424397,0
"wine-quality-white",16,0.1,"rect",256,0.0040849675424397,0
"wine-quality-white",16,1,"rect",1024,0.0040849675424397,0
"wine-quality-white",16,1,"cone",512,0.0040849675424397,0
"wine-quality-white",16,1,"rect",512,0.0040849675424397,0
"wine-quality-white",16,1,"cone",256,0.0040849675424397,0
"wine-quality-white",16,1,"rect",256,0.0040849675424397,0
"wine-quality-white",8,0.01,"rect",256,0.0040849675424397,0
"wine-quality-white",8,0.1,"rect",1024,0.0040849675424397,0
