DATASET_NAME,FOLDER_NAME,FILE_NAME,TASK,PREDICTION_COLUMN
abalone,abalone,abalone,0,0
acute-inflammation,acute-inflamation,diagnosis-inflamation,0,-1
acute-nephritis,acute-nephritis,diagnosis-nephritis,0,-1
adult,adult,adult,0,-1
annealing,anneal,anneal,0,-1
arrhythmia,arrhythmia,arrhythmia,0,
audiology-std,audiology,audiology.standardized,0,-1
balance-scale,,,0,
balloons,,,0,
bank,,,0,
blood,,,0,
breast-cancer,,,0,
breast-cancer-wisc,,,0,
breast-cancer-wisc-diag,,,0,
breast-cancer-wisc-prog,breast-cancer-wisconsin-prog,breast-cancer-wisconsin,1,-1
breast-tissue,,,0,
car,,,0,
cardiotocography-10clases,,,0,
cardiotocography-3clases,,,0,
chess-krvk,,,0,
chess-krvkp,,,0,
congressional-voting,,,0,
conn-bench-sonar-mines-rocks,,,0,
conn-bench-vowel-deterding,,,0,
connect-4,,,0,
contrac,,,0,
credit-approval,,,0,
cylinder-bands,,,0,
dermatology,,,0,
echocardiogram,,,0,
ecoli,,,0,
energy-y1,,,0,
energy-y2,,,0,
fertility,,,0,
flags,,,0,
glass,,,0,
haberman-survival,,,0,
hayes-roth,,,0,
heart-cleveland,,,0,
heart-hungarian,,,0,
heart-switzerland,,,0,
heart-va,,,0,
hepatitis,,,0,
hill-valley,,,0,
horse-colic,,,0,
ilpd-indian-liver,,,0,
image-segmentation,,,0,
ionosphere,,,0,
iris,,,0,
led-display,,,0,
lenses,,,0,
letter,,,0,
libras,,,0,
low-res-spect,,,0,
lung-cancer,,,0,
lymphography,,,0,
magic,,,0,
mammographic,,,0,
miniboone,,,0,
molec-biol-promoter,,,0,
molec-biol-splice,,,0,
monks-1,,,0,
monks-2,,,0,
monks-3,,,0,
mushroom,,,0,
musk-1,,,0,
musk-2,,,0,
nursery,,,0,
oocytes_merluccius_nucleus_4d,,,0,
oocytes_merluccius_states_2f,,,0,
oocytes_trisopterus_nucleus_2f,,,0,
oocytes_trisopterus_states_5b,,,0,
optical,,,0,
ozone,,,0,
page-blocks,,,0,
parkinsons,,,0,
pendigits,,,0,
pima,,,0,
pittsburg-bridges-MATERIAL,,,0,
pittsburg-bridges-REL-L,,,0,
pittsburg-bridges-SPAN,,,0,
pittsburg-bridges-T-OR-D,,,0,
pittsburg-bridges-TYPE,,,0,
planning,,,0,
plant-margin,,,0,
plant-shape,,,0,
plant-texture,,,0,
post-operative,,,0,
primary-tumor,,,0,
ringnorm,,,0,
seeds,,,0,
semeion,,,0,
soybean,,,0,
spambase,,,0,
spect,,,0,
spectf,,,0,
statlog-australian-credit,,,0,
statlog-german-credit,,,0,
statlog-heart,,,0,
statlog-image,,,0,
statlog-landsat,,,0,
statlog-shuttle,,,0,
statlog-vehicle,,,0,
steel-plates,,,0,
synthetic-control,,,0,
teaching,,,0,
thyroid,,,0,
tic-tac-toe,,,0,
titanic,,,0,
trains,,,0,
twonorm,,,0,
vertebral-column-2clases,,,0,
vertebral-column-3clases,,,0,
wall-following,,,0,
waveform,,,0,
waveform-noise,,,0,
wine,,,0,
wine-quality-red,,,0,
wine-quality-white,,,0,
yeast,,,0,
zoo,,,0,
